Address_x,Address_suggested,Street Number,Street Name,Street Suffix,Street Prefix,City,Parcel Number,Matching Ratio
21839 Barclay Drive,21839 Barclay Drive,21839,Barclay,Drive,,Novi,TBDNEWCONSTRCT.,
24160 Lebost,24160 Le Bost,24160,Lebost,,,Novi,ATLISTINGOFFICE,
24981 Newburry,24981 Newburry,24981,Newburry,,,Novi,716251030,71
44800 Bayview Drive 33,44800 Bayview Dr,44800,Bayview,Drive,,Novi,5.22E+11,
39962 Crosswinds,39962 Crosswinds,39962,Crosswinds,,,Novi Twp,5.02E+11,
21392 S E. Glen Haven Circle 50 248,21392 S Glen Haven Circle,21392,Glen Haven,Circle,S,Novi,5.02E+13,
20878 W Glen Haven,20878 W Glen Haven Circle,20878,Glen,Haven,W,Novi,5.02E+11,
20886 Veranda Street,20886 Veranda Drive,20886,Veranda,Street,,Novi,5.02E+11,
22121 Chase Drive,22121 Chase Drive,22121,Chase,Drive,,Novi,5.02E+11,
21426 Chase Dr,21426 Chase Drive,21426,Chase,Dr,,Novi Twp,5.02E+11,
46011 Nine Mile,46011 Nine Mile Road,46011,Nine Mile,,,Novi,5.02E+11,
22099 Barclay Court,22099 Barclay Court,22099,Barclay,Court,,Novi Twp,5.02E+11,
47743 Dunhill Court,47743 Dunhill Court,47743,Dunhill,Court,,Novi,5.02E+11,83
21666 Garfield Road,21666 Garfield Road,21666,Garfield,Road,,Novi Twp,5.02E+11,81
22449 Moorgate St,22449 Moorgate Street,22449,Moorgate,St,,Novi,5.02E+11,
45486 Addington Lane,45486 Paddington Court,45486,Addington,Lane,,Novi Twp,5.02E+11,
24024 Devonshire,24024 Devonshire,24024,Devonshire,,,Novi Twp,5.02E+11,67
45812 Willingham Drive,45812 Willingham Drive,45812,Willingham,Drive,,Novi,5.02E+11,88
24180 Westmont Dr,24180 Westmont Dr,24180,Westmont,Dr,,Novi,5.02E+11,86
24177 Westmont Ct,24177 Westmont Ct,24177,Westmont,Ct,,Novi Twp,5.02E+11,86
22561 Montebello Court,22561 Montebello Court,22561,Montebello,Court,,Novi,5.02E+11,80
43445 Bennington Dr,43445 Bennington Drive,43445,Bennington,Dr,,Novi,5.02E+11,
43465 Bennington Dr,43465 Bennington Drive,43465,Bennington,Dr,,Novi,5.02E+11,
41861 Aspen Drive,41861 Aspen Drive,41861,Aspen,Drive,,Novi,5.02E+11,
42787 Cardinal Way 0088,42787 Cardinal Way,42787,Cardinal,Way,,Novi,5.02E+11,